conversation_id,customer_tweet_id,customer_message,company_tweet_id,company_response,timestamp,brand
1000121,1000119,Irritated on principle. I spent 2+ hrs looking for a 400-page book I ordered in May &amp; it's nowhere. Now I have to reorder. @AmazonHelp,1000117,"@356779 I'm sorry for the poor experience! When you contacted us, what options or insight were we able to offer? ^WT",2017-10-22T17:27:10Z,AmazonHelp
1000121,1000118,@AmazonHelp It's all good now 😊 I chatted in &amp; it turns out the tracking shows it was never delivered. Your rep = v helpful &amp; replacement is on its way,1000120,@356779 Thanks for letting us know! We're always here if you need us! ^CS,2017-10-22T17:52:00Z,AmazonHelp
1001028,1001029,"@AmazonHelp I bought a TV and this is how Hermes left it! The card had a 'no safe place' option, but this was ignored 😠. https://t.co/vOMn76pxx5",1001028,"@356987 Oh Ian, that is not good! Please talk to us here so we can investigate: https://t.co/JzP7hlA23B ^AT",2017-10-14T12:39:02Z,AmazonHelp
1001076,1001077,@115821 this guy is tossing packages on 51st street btwn 1st/2nd ave https://t.co/HXAvTTJB0Z,1001076,@134601 Oh no! Please provide us with your information here:https://t.co/jq113suNle so we can investigate this matter further! ^SA,2017-10-22T17:42:40Z,AmazonHelp
1001614,1001613,おい、Amazonさん ここ海外だぞ 交換を言ったんじゃないよ これから包装ちゃんとしてくださいと言ったんだから！ https://t.co/e5gxHyYpUz,1001611,@357113 ご迷惑をおかけしております。 交換ご希望ではないにも関わらず、交換商品が手配されている状況でしょうか？ ご希望にそわない場合には、お手数ですが、下記URLよりカスタマーサービスにご連絡ください。https://t.co/bwBU0NvYIn TY,2017-10-12T05:56:52Z,AmazonHelp
1001977,1001976,@115830 why do I pay for amazon prime when the last 2 items I’ve ordered haven’t been delivered on the specified date????,1001974,@357179 Oh no! We're here to help! What does the current tracking show: https://t.co/aaDyEz1VgE Please let us know! ^KN,2017-10-22T17:52:28Z,AmazonHelp
1001977,1001975,@AmazonHelp The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,1001977,"@357179 I'm sorry it hasn't arrived! If it isn't delivered Monday, or for direct assistance, reach us here: https://t.co/JzP7hlA23B ^AN",2017-10-22T19:52:38Z,AmazonHelp
1002203,1002204,@AmazonHelp @115850 sent a replacement SATA IDE a month after order delivered disguised as new order Now Bludart not picking up the pkg,1002203,@202476 I'm sorry but I couldn't follow that. Could you please rephrase and elaborate on that? ^HA,2017-10-22T14:45:00Z,AmazonHelp
1002549,1002550,@115850 additional discount on debit cad not given in grand sale,1002549,@357311 We'd definitely help clear this up for you. Kindly connect with our support team here: https://t.co/vlvfJrlYEH for assistance.^RS,2017-10-14T12:57:33Z,AmazonHelp
1002635,1002633,What’s wrong Amazon? It doesn’t take 3 days from Bhiwandi to Navi Mumbai; people travel that much to-and-fro in a day!,1002631,@194072 Seems like you're waiting for your order. Could you let me know if we've missed the estimated date of delivery? ^AU,2017-10-14T12:51:32Z,AmazonHelp
1002635,1002632,"@AmazonHelp That’s considerate; you guys haven’t missed the date, just eagerly awaiting the product so that I can start using it. Thank you 👍🏻",1002634,@194072 I get the adrenaline rush. We'll do out best to deliver before but can't promise it. Please wait till the given date. ^HA,2017-10-14T15:01:26Z,AmazonHelp
1002656,1002657,amazonのマーケットプレイスで頼んだものと別のがきた。。。,1002656,@357331 ご迷惑をおかけしております。商品に問題があった場合、出品者が発送する商品については、誠に恐れ入りますが、直接出品者にお問い合わせください。出品者へのお問い合わせ方法はこちらをご参照ください。https://t.co/ZXCXcbN3Tv SM,2017-10-14T12:45:36Z,AmazonHelp
1002904,1002905,@115850 teach ur exe (shiny)some manners to talk. My order is not delivered and she is showing her anger and attitude. Rude and horrible.,1002904,@357392 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,2017-10-22T15:05:30Z,AmazonHelp
1002923,1002922,What an absolute farce. Alexa 'forgot' ALL my Smarthome links so I've had to redo them. Alexa wasn't even showing as Online. 🤔 @AmazonHelp,1002920,@219466 Oh no! I'm sorry for the trouble. Have you tried the tricks listed here: https://t.co/ytj9CekX0R? Let us know if this helps! ^TG,2017-10-22T15:00:01Z,AmazonHelp
