id,conversation_id,source_tweet_id,customer_message,raw_text,timestamp,sampling_bucket,writing_style,gold_intent,gold_decision,gold_response_characteristics,notes
gold_0001,115919,115919,"@AmazonHelp Extremely inconvienant service, too be honest. I logged in&amp;had to verify my acc (as I'm travelling &amp; on a diff IP address) to then be locked out. Thank GOD for @6614","@AmazonHelp Extremely inconvienant service, too be honest. I logged in&amp;had to verify my acc (as I'm travelling &amp; on a diff IP address) to then be locked out. Thank GOD for @6614",2017-11-23T21:44:50Z,account_access,long,account_access,ESCALATE,,"Human review: unresolved, sensitive, financial/security, complaint, or complex support case."
gold_0002,1268923,1268924,"Well played @115821! blocked my account after adding 425$ bcz of address verification &amp; you guys asking me to fax my details,Seriously! https://t.co/FIXtWELTqq","Well played @115821! blocked my account after adding 425$ bcz of address verification &amp; you guys asking me to fax my details,Seriously! https://t.co/FIXtWELTqq",2017-10-16T06:11:35Z,account_access,long,account_access,ESCALATE,,"Human review: unresolved, sensitive, financial/security, complaint, or complex support case."
gold_0003,2319532,2319527,"@AmazonHelp Hi, I just clicked that link on my Amazon account. It's nothing more than just an area of the website to contact Amazon. We've been through this already. Do you have an email address where he can make direct contact please. We are just going around in circles here.","@AmazonHelp Hi, I just clicked that link on my Amazon account. It's nothing more than just an area of the website to contact Amazon. We've been through this already. Do you have an email address where he can make direct contact please. We are just going around in circles here.",2017-11-13T13:36:31Z,account_access,long,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0004,2577022,2577023,@115821 2 step authentification Fail! I only have ONE phone number and now locked out of my account? Help! I can’t log in to contact seller help! Doh! Needs fixing asap,@115821 2 step authentification Fail! I only have ONE phone number and now locked out of my account? Help! I can’t log in to contact seller help! Doh! Needs fixing asap,2017-11-16T21:13:08Z,account_access,long,account_access,ESCALATE,,"Human review: unresolved, sensitive, financial/security, complaint, or complex support case."
gold_0005,2733946,2733947,@115830 Can we DM please? I'm having problems logging into my account as I can't get past this page. I have submitted the form several times with different codes but I can't get past... As a matter of urgency please? Thanks! https://t.co/tW0sb8ezn5,@115830 Can we DM please? I'm having problems logging into my account as I can't get past this page. I have submitted the form several times with different codes but I can't get past... As a matter of urgency please? Thanks! https://t.co/tW0sb8ezn5,2017-11-20T16:26:52Z,account_access,long,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0006,2915906,2915907,@119625 Stop spamming me. I keep getting promotion emails from __email__ . unsubscribe option does not work. I tried multiple time. #spam #stopspamming #brokenservice,@119625  Stop spamming me. I keep getting promotion emails from __email__ . unsubscribe option does not work. I tried multiple time. #spam #stopspamming #brokenservice,2017-11-28T23:12:56Z,account_access,long,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0007,2954447,2954447,@AmazonHelp I’m still on hold now it’s disgusting! I’m missing a credit which you promised me I even have the email confirmation and I just keep getting put on hold! Sill on hold now,@AmazonHelp I’m still on hold now it’s disgusting! I’m missing a credit which you promised me I even have the email confirmation and I just keep getting put on hold! Sill on hold now,2017-11-29T18:48:52Z,account_access,long,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0008,320360,320360,"@AmazonHelp Thank you, I decided phoning you would be quicker :) hopefully my account is closed now!","@AmazonHelp Thank you, I decided phoning you would be quicker :) hopefully my account is closed now!",2017-10-07T12:22:59Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0009,1265718,1265719,"My case ID-4070769122,since 7October trying to change my bank account details in amazon seller account &amp; reached call center 10times.","My case ID-4070769122,since 7October trying to change my  bank account details in amazon seller account &amp; reached call center 10times.",2017-10-26T12:25:46Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0010,1398447,1398447,@AmazonHelp Quicker for you Not better or more efficient for me. Please think of your customer needs. I will get in touch via email.,"@AmazonHelp Quicker for you Not better or more efficient 
 for me. Please think of your customer needs. I will get in touch via email.",2017-10-28T16:12:15Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0011,1838813,1838813,@AmazonHelp Reply 1 of 2: Been trying to for weeks. Get different story why Amazon can't each time. Security breach so Amazon closed my old account...,@AmazonHelp Reply 1 of 2: Been trying to for weeks. Get different story why Amazon can't each time. Security breach so Amazon closed my old account...,2017-10-18T06:44:13Z,account_access,medium,account_access,ESCALATE,,"Human review: unresolved, sensitive, financial/security, complaint, or complex support case."
gold_0012,2230561,2230561,@AmazonHelp Yes where they have advised they tried to get in contact which they haven’t and when I replied to them they forwarded the same email again,@AmazonHelp Yes where they have advised they tried to get in contact which they haven’t and when I replied to them they forwarded the same email again,2017-10-19T18:32:29Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0013,2296698,2296696,"@AmazonHelp Now it has, emailed u earlier","@AmazonHelp Now it has, emailed u earlier",2017-11-12T12:45:25Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0014,2462184,2462178,@AmazonHelp i have already shared my details many times through mail and directly from my amazon account too,@AmazonHelp i have already shared my details many times through mail and directly from my amazon  account too,2017-11-15T08:36:22Z,account_access,medium,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0015,787527,787517,@AmazonHelp WTH do I do with your email?,@AmazonHelp WTH do I do with your email?,2017-10-12T10:29:30Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0016,981965,981965,@AmazonHelp Opened an email. Cheers!,@AmazonHelp Opened an email. Cheers!,2017-10-22T14:36:20Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0017,1202821,1202818,@AmazonHelp __email__,@AmazonHelp __email__,2017-10-25T16:43:17Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0018,1246387,1246387,"@AmazonHelp Thanks, sent an email.","@AmazonHelp Thanks, sent an email.",2017-10-26T01:08:10Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0019,1266377,1266372,@AmazonHelp I'll DM you the email ID?,@AmazonHelp I'll DM you the email ID?,2017-10-16T06:32:29Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0020,1635827,1635826,@AmazonHelp Email __email__,@AmazonHelp Email __email__,2017-10-17T13:06:17Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0021,2355261,2355262,@AmazonHelp Email sent.,@AmazonHelp Email sent.,2017-11-13T19:07:55Z,account_access,short,account_access,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0022,144217,144217,"@AmazonHelp Shame @115830 have now decided next day delivery is 5 days - no excuse with BF - it is now 5 times longer than Prime advertises, which is very poor and longer than shown when I ordered","@AmazonHelp Shame @115830 have now decided next day delivery is 5 days - no excuse with BF - it is now 5 times longer than Prime advertises, which is very poor and longer than shown when I ordered",2017-11-27T19:22:42Z,delivery_tracking,long,delivery_tracking,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
gold_0023,465805,465806,"@AmazonHelp If your own Amazon carrier can't delivery a package and you can't readily do a replacement shipment, your best is to refund? What a disappointment. I am not even asking for you to honor a price mistake!","@AmazonHelp If your own Amazon carrier can't delivery a package and you can't readily do a replacement shipment, your best is to refund?  What a disappointment.  I am not even asking for you to honor a price mistake!",2017-12-01T04:36:58Z,delivery_tracking,long,delivery_tracking,AUTO_HANDLE,,Routine support request or low-risk informational/confirmation case.
