annotation_id,conversation_id,tweet_id,clean_text,raw_text,timestamp,message_index,sampling_bucket,writing_style_bucket,intent_label,annotation_status,annotator_notes
dev_00000,442892,442891,"@AmazonHelp they said that they can’t close my account because there’s a balance on it. which I knew already, but it was HACKED! I want you guys to find out why my account was hacked and I shouldn’t be responsible for it. everyone said they’ll “investigate” but nothing has ever been resolved","@AmazonHelp they said that they can’t close my account because there’s a balance on it. which I knew already, but it was HACKED! I want you guys to find out why my account was hacked and I shouldn’t be responsible for it. everyone said they’ll “investigate” but nothing has ever been resolved",2017-11-22T08:57:01Z,2,account_access,long,account_access,reviewed,security/account-access content; escalate separately if needed; multi-intent; primary outcome selected
dev_00001,487653,487652,@115830 @AmazonHelp it would be great if someone could contact me regarding a. rude staff b. Not being able to retrieve a password c. Not being able to close my acct d. You now having access to my information when I don’t!!,@115830 @AmazonHelp it would be great if someone could contact me regarding a. rude staff b. Not being able to retrieve a password c. Not being able to close my acct d. You now having access to my information when I don’t!!,2017-12-01T16:00:40Z,0,account_access,long,account_access,reviewed,multi-intent; primary outcome selected
dev_00002,519702,519694,"@AmazonHelp What's the point of a customer service line if that's your only solution. ""Oh well. Just wait. Maybe God will reactivate your account. Until then, guess you'll just be out your money.""","@AmazonHelp What's the point of a customer service line if that's your only solution. ""Oh well. Just wait. Maybe God will reactivate your account. Until then, guess you'll just be out your money.""",2017-12-02T03:13:16Z,14,account_access,long,account_access,reviewed,multi-intent; primary outcome selected
dev_00003,522479,522480,@AmazonHelp I am having trouble with my account. Amazon keeps deactivating my password and that I will be able to access my account and change my password in 5 hours. I changed my password and it is not letting me into my account. I have reset my password and it says not valid.,@AmazonHelp I am having trouble with my account. Amazon keeps deactivating my password and that I will be able to access my account and change my password in 5 hours. I changed my password and it is not letting me into my account. I have reset my password and it says not valid.,2017-12-02T04:09:56Z,0,account_access,long,account_access,reviewed,
dev_00004,534124,534126,"@AmazonHelp Yup, nothing in my spam folder and I'm not going to waste my time calling again. I was told my account has been frozen due to some security issue, but I'm still waiting for someone to fix it. My email is bdlh1993 at gmail dot com.","@AmazonHelp Yup, nothing in my spam folder and I'm not going to waste my time calling again. I was told my account has been frozen due to some security issue, but I'm still waiting for someone to fix it. My email is bdlh1993 at gmail dot com.",2017-11-25T16:13:35Z,2,account_access,long,account_access,reviewed,high-risk language; escalation decision is separate
dev_00005,631576,631576,@AmazonHelp I have already been through several processes. I have created and received emails and also just spoke to someone over the phone. I am appalled by the ‘service’ of Amazon and will be sure to tell everyone not to use them in future!,@AmazonHelp I have already been through several processes. I have created and received emails and also just spoke to someone over the phone. I am appalled by the ‘service’ of Amazon and will be sure to tell everyone not to use them in future!,2017-11-22T16:41:49Z,2,account_access,long,product_or_listing,reviewed,
dev_00006,671654,671650,"@AmazonHelp I can't seem to find anyone who actually understands the problem. There wasn't unauthorized activity, someone is using my email address for their account. No one is listening to me. https://t.co/0Um9002EJN","@AmazonHelp I can't seem to find anyone who actually understands the problem. There wasn't unauthorized activity, someone is using my email address for their account. No one is listening to me. https://t.co/0Um9002EJN",2017-11-27T01:13:01Z,13,account_access,long,account_access,reviewed,security/account-access content; escalate separately if needed; multi-intent; primary outcome selected
dev_00007,1516044,1516047,@AmazonHelp This is the email.. all I wanted was calming spray for my dog because of bonfire night.. now I might not even have my parcel before then https://t.co/DNB0dUpMi6,@AmazonHelp This is the email.. all I wanted was calming spray for my dog because of bonfire night.. now I might not even have my parcel before then https://t.co/DNB0dUpMi6,2017-11-03T20:16:34Z,5,account_access,long,delivery_tracking,reviewed,
dev_00008,1755055,1755052,"@115821 WHY AM I STUCK IN A CIRCULAR HELL OF PASSWORD RESET AND ENTERING MY EMAIL AND THEN THE CODE RINSE, REPEAT? OMG I AM DYING OF FRUSTRATION. I just want to change my password. What the fuck. Seriously.","@115821 WHY AM I STUCK IN A CIRCULAR HELL OF PASSWORD RESET AND ENTERING MY EMAIL AND THEN THE CODE RINSE, REPEAT? OMG I AM DYING OF FRUSTRATION. I just want to change my password. What the fuck. Seriously.",2017-11-26T06:04:15Z,0,account_access,long,account_access,reviewed,
dev_00009,2192612,2192604,@AmazonHelp The point is that you are telling me oh sorry both reps gave you wrong info and you are not getting what is in the email... why did u offer me a refunf and not state things clearly the first time??,@AmazonHelp The point is that you are telling me oh sorry both reps gave you wrong info and you are not getting what is in the email... why did u offer me a refunf and not state things clearly the first time??,2017-11-09T22:31:44Z,8,account_access,long,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
